  1,  1660.188,   455.704,  1632.889,   226.309,   226.309,   701.575,
  2,  1660.188,   455.704,  1632.889,   226.309,   226.309,   701.575,
  3,  1594.947,   454.424,  1567.577,   226.320,   226.320,   701.585,
  4,  1470.306,   451.958,  1442.715,   226.348,   226.348,   701.609,
  5,  1242.888,   446.934,  1213.919,   226.512,   226.512,   701.730,
  6,  1042.636,   440.800,  1002.120,   276.731,   276.731,   693.335,
  7,  1151.264,   444.437,  1120.298,   226.685,   226.685,   701.854,
  8,  1040.222,   440.707,   999.416,   280.237,   280.237,   692.679,
  9,  1116.293,   443.367,  1083.781,   226.816,   226.816,   701.949,
 10,  1090.254,   442.517,  1055.827,   226.944,   226.944,   702.040,
 11,  1064.891,   441.643,  1027.422,   244.644,   244.644,   700.468,
 12,  1077.317,   442.086,  1041.562,   226.866,   226.866,   701.985,
 13,  1071.020,   441.871,  1034.385,   235.853,   235.853,   702.839,
 14,  1073.988,   441.974,  1037.768,   231.614,   231.614,   703.918,
  1,   685.737,   412.117,
  2,   685.441,   420.747,
  3,   685.715,   412.931,
